_id,workup,treatment,symptoms,name,description,other_specific_tests,has_inteli_health_additions
1224,"Symptoms include fever without an infection, night sweats, fatigue, dizziness, and shortness of breath. Patients may experience fullness in the left upper abdomen from enlargement of the spleen. Some patients do not have symptoms. ",Treatment will include a combination of chemotherapies. Some patients may be selected for bone marrow transplantation. Some advanced stages patients may require a splenectomy to improve hemoglobin and platelet counts.,"Symptoms include fever without an infection, night sweats, fatigue, dizziness, and shortness of breath. Patients may experience fullness in the left upper abdomen from enlargement of the spleen. Some patients do not have symptoms. ",Chronic lymphocytic leukemia (CLL),"Chronic lymphocytic leukemia (CLL) is the growth of abnormal white blood cells called lymphocytes in the bone marrow. The bone marrow is the soft spongy material contained in the center of the bones. There are several types of white blood cells normally produced by the bone marrow. These include neutrophils, basophils, eosinophils, lymphocytes and monocytes. In this disease, the bone marrow makes more than the usual number of immature and more mature lymphocytes and releases them into the blood stream. The disease is slow in onset and progression. It is the most common form of leukemia in adults in the Western world.",,0
1225,A complete history and physical exam will be performed. The diagnosis is often made when an abnormal blood count is noted on the lab test called a CBC. Tests used to confirm the diagnosis include flow cytometry of a blood sample or a bone marrow biopsy.,"Most of often patients are treated with a tyrosine kinase inhibitor, such as Treatment will include a combination of chemotherapies. Other potential treatments include interferon, imatinib (Gleevec), dasatinib (Sprycel), or nilotinib (Tasigna). Some patients may be selected for bone marrow transplantation. ","Symptoms can include fever without infection, fatigue, dizziness, shortness of breath, pale skin, frequent nosebleeds, and bleeding gums. Patients may experience fullness in the left upper abdomen from enlargement of the spleen.",Chronic myelogenous leukemia (CML),"Chronic myelogenous leukemia (CML) is the growth of abnormal white blood cells in the bone marrow. The bone marrow is the soft spongy material contained in the center of the bones. There are several types of white blood cells normally produced by the bone marrow. These include neutrophils, basophils, eosinophils, lymphocytes and monocytes. In this disease, the bone marrow makes more than the usual number of immature neutrophils and releases them into the blood stream. This over-growth of cells prevents the normal production of normal blood cells. Over ninety percent of cases come from a specific genetic mutation called the Philadelphia chromosome. The disease is most common in middle-aged individuals.",,0
1226,A history and physical will be performed. The diagnosis is usually confirmed with an X-ray.,"The type of treatment depends on the location of the injury, severity of the fracture and the age of the patient. Nonoperative care includes immobilization with splinting or casting. The patient may need a closed reduction or surgery with an open reduction internal fixation (ORIF) of the injured bones. Hardware may be applied in surgery to keep the bones aligned until the body heals the fracture. ","Symptoms may include pain, arm deformity, inability to move the arm, arm swelling, numbness, and tenderness.",Forearm fracture,"The forearm is the area of the body between the elbow and the wrist. The forearm is made up of two bones called the radius and ulna. A forearm fracture is a common fracture for all age groups and usually occurs due to direct trauma, such as falling on the arm. Treatment depends on the location, severity of the injury and age of the patient. The fracture can damage adjacent nerves and blood vessels.",,0
1227,A history and physical will be performed. The diagnosis is usually confirmed with an x-ray.,"Treatment depends on the location of the injury, severity of the fracture and the age of the patient. Nonoperative care includes immobilization with splinting or casting. The patient may need a closed reduction or surgery with an open reduction internal fixation (ORIF) of the injured bones. Hardware may be applied in surgery to keep the bones aligned until the body heals the fracture. ","Symptoms may include pain, upper leg deformity, inability to move the leg, leg swelling, numbness, and tenderness.",Femur fracture (upper leg),"An upper leg fracture is a fracture of the thigh bone called the femur. The femur is a strong bone and it takes a tremendous amount of force to break the bone. The most common causes of fracture are a fall from height, car accidents, and in individuals with osteoporotic bone. Treatment depends on the location, severity of the injury and age of the patient. The fracture can damage adjacent nerves and blood vessels. Fractures of this area can bleed a great deal and can be life threatening. ",,0
1228,A history and physical will be performed. The diagnosis is usually confirmed with an x-ray.,"Treatment depends on the location of the injury, severity of the fracture and the age of the patient. Nonoperative care includes immobilization with splinting or casting. The patient may need a closed reduction or surgery with an open reduction internal fixation (ORIF) of the injured bones. Hardware may be applied in surgery to keep the bones aligned until the body heals the fracture. ","Symptoms may include pain, lower leg deformity, inability to move the leg, leg swelling, numbness, and tenderness.","Lower leg fracture (tibia, fibula)","The lower leg is the area of the body between the knee and the ankle. The lower leg is made up of two bones called the tibia and fibula. The tibia is a very strong bone located along the inside of the lower leg while the fibula is a much thinner bone and is on the outside. Fractures of the lower leg are the most common long bone fractures. Treatment depends on the location, severity of the injury and age of the patient. The fracture can damage adjacent nerves and blood vessels.",,0
1229,A history and physical will be performed. The diagnosis is usually confirmed with an x-ray. Additional imaging with a CT scan or MRI may be necessary pending the extent of the injury or for repeat dislocations. ,"Treatment involves moving the forearm back to its normal position. This procedure is called reduction. This can usually be accomplished in the office or emergency department, but occasionally requires reduction in the operating room. Medications may be given to control pain and provide sedation. The practitioner will then attempt to reduce the dislocation by applying pressure and manipulating the elbow. A period of immobilization followed by range of motion exercises is recommended to prevent repeat dislocations. ","Symptoms may include pain, elbow deformity, inability to move the elbow, elbow swelling, numbness, and tenderness.",Elbow dislocation,"An elbow dislocation occurs when the bones of the forearm move out of their normal alignment with the upper arm bone (humerus). When the bones move from their normal position, they can no longer move freely and there is potential for decreased blood flow and permanent damage. An elbow dislocation is the most common dislocation in childhood and the second most common dislocation in adulthood. Trauma related to sports activities accounts for the majority of elbow dislocations. Immediate medical treatment should be sought to avoid potentially permanent damage to nerves and blood vessels.",,0
1230,A history and physical will be performed. The diagnosis is usually confirmed with an x-ray. Additional imaging with a CT scan or MRI may be necessary pending the extent of the injury or for repeat dislocations.,"Treatment involves replacement of the top of the femur back in its socket. This procedure is called reduction. This can usually be accomplished in the emergency department, but occasionally requires reduction in the operating room. Medications are given to control pain and provide sedation. Weight-bearing and range of motion may be restricted following the closed reduction. ","Symptoms may include pain, upper leg deformity, inability to move leg, leg swelling, numbness, and tenderness.",Hip dislocation,"A hip dislocation occurs when the upper part of the thigh bone (femur) comes out of its normal location in the cup-like part of the pelvis called the acetabulum. Normally, the top of the femur rotates freely within this cup and forms a ball and socket joint. When the top of the femur comes out of the cup, the joint can no longer move freely and there is the potential for decreased blood flow to the femur. Dislocations may be the result of trauma such as an automobile accident. However, individuals who have had a hip replacement are at risk to experience dislocations without trauma. This can happen with motions such as a deep squat or extreme rotation of the hip. A hip dislocation is a medical emergency and immediate medical attention is required. Ideally, the hip should be placed back in its socket within six hours to avoid blood flow injury to the femur, which could cause avascular necrosis. ",,0
1231,A history and physical will be performed. The diagnosis is usually confirmed with an x-ray.,"Treatment may involve the use of local anesthesia to numb the finger, called a digital block. The practitioner will then relocate the finger joint by applying pressure and traction. A splint will usually be applied to the affected finger. Occasionally, surgery may be needed to treat dislocations complicated by a fracture.","Symptoms include pain, finger deformity, inability to move finger, finger swelling, numbness, and tenderness.",Finger dislocation,"A finger dislocation occurs when the bones of the fingers (phalanges) are forced from their normal positions. This may occur at the proximal interphalangeal (PIP) or the distal interphalangeal (DIP) joints in the hand. As a result, the normal movement of the fingers is disrupted. Dislocations usually occur when the finger is bent beyond its normal range of motion. The dislocation can damage attached tendons and nearby nerves and arteries.",,0
1232,A history and physical exam will be performed. A specific exam to test the ligaments in the knee will be conducted. An x-ray may be helpful to rule out a fracture. An MRI can identify the torn ligament and assess the extent of damage. ,"Most mild sprains heal on their own with just rest. Treatment includes: immobilization, ice, elevation, nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn) and pain medications such as acetaminophen (Tylenol). Physical therapy and therapeutic ultrasound may be helpful. For severe sprains that do not improve with other treatments, more prolonged immobilization and/or surgery may be required.","Symptoms include pain with weight bearing, swelling, bruising, tenderness, decreased motion, and a feeling of instability.",Knee ligament sprain,"A common injury from a forceful twisting of the knee causing stretching and/or tearing of the ligaments in the knee without any broken bones. The knee joint has four major ligaments that may be injured called the anterior cruciate ligament (ACL), posterior cruciate ligament (PCL), medial collateral ligament (MCL), and lateral collateral ligament (LCL). Often times during a knee sprain more than one ligament is affected. Sprains are commonly graded in a severity range from Grade I (mild) to Grade III (severe). Most mild sprains heal on their own with just rest. Severe injuries may need immobilization and/or surgical repair.",,0
1233,"A history and physical will be performed. The diagnosis can usually be made upon examination. Occasionally, a skin biopsy may be required to confirm the diagnosis.","Treatment involves discontinuation of any new medications started within the last two months. Symptoms are treated with acetaminophen (Tylenol), antihistamines and occasionally, topical corticosteroids. Intravenous or oral corticosteroids may be given in more severe cases, but are considered controversial.","Symptoms include the abrupt onset of a round red rash with raised borders and central clearing. People with Stevens-Johnson syndrome can become very ill with high fever, mouth sores, red eyes, genital sores and liver injury. The rash can progress to blisters, which may be widespread and painful.  ",Erythema multiforme,"Erythema multiforme is a type of skin rash that has a characteristic target appearance with round, red borders and central clearing. It can occur as a reaction to certain medications, especially antibiotics such as sulfa drugs, or to infections, such as herpes simplex. The rash usually resolves on its own, but it may recur. Some people have frequent episodes. Erythema multiforme can sometimes be associated with a systemic illness called Stevens-Johnson syndrome.",,0
1234,A history and physical exam will be performed. An x-ray and CT scan can be performed to reveal bone alignment and degenerative changes. An MRI may reveal the narrowing of the spinal canal and damage to the nerves. ,"Therapy depends on the extent of the disease. Medication used includes: non-steroidal anti-inflammatory drugs (ibuprofen/Motrin or naproxen/Naprosyn), acetaminophen/Tylenol, a short trial of oral corticosteroids (prednisone), and/or narcotic pain relievers. Epidural steroid injections and physical therapy are also used to control the symptoms. Surgery is considered for persistent symptoms or if nerve compression is significant.","Symptoms include upper back pain that may radiate around the chest and legs, numbness, weakness, and pain that worsens with upper back movement. More severe stenosis may cause problems with balance and coordination. Individuals who loose bowel or bladder function should seek immediate medical attention. ",Thoracic spine stenosis,"Spinal stenosis of the thoracic spine is narrowing of the spinal canal of the upper back. The narrowing can cause compression of the spinal cord and nerves exiting the spine. The canal becomes narrowed by arthritis and degeneration of the bones and ligaments, by a herniated disc, or from a tumor. It is more common in patients older than 60, but may occur at any age. Thoracic spine stenosis is less common than lumbar or cervical spinal stenosis.",,0
1235,"A history and physical will be performed. The diagnosis can usually be made on examination. Laboratory and imaging studies may be performed to look for associated diseases. Occasionally, a skin biopsy may be required to confirm the diagnosis.","Erythema nodosum often resolves on its own and treatment is directed at symptomatic relief. Anti-inflammatory medications, limb elevation and cool compresses are frequently used. ",Symptoms may include pain and a red rash on the front of the lower legs. The rash consists of red raised bumps.,Erythema nodosum,"Erythema nodosum is a raised, red, bumpy rash that usually involves the front of the lower legs. It is often associated with certain infections (streptococcus, coccidiomycosis), drugs (birth control pills, sulfa medications) and diseases (sarcoidosis, Crohn's disease, ulcerative colitis). It can also happen during pregnancy. At times no cause is determined (idiopathic). Most cases resolve within eight weeks. Women are affected more often than men and it occurs most frequently in patients between the ages of 18 and 34.",,0
1237,A history and physical will be performed. Blood and imaging tests may be performed depending on the symptoms and type of trauma or surgery that was involved. ,Therapy varies depending on the size of the seroma and the presence of infection. Many small seromas resolve without intervention. Larger seromas may require aspiration or surgical intervention. Antibiotics are used to treat infection.,"The symptoms depend on the size and location of the seroma. If infected or large, symptoms may include pain, swelling, clear or cloudy drainage, redness or fever.",Seroma (fluid build-up),A seroma is a collection of fluid in tissue or an organ that occurs after surgery or trauma. They occur as a result of damage to blood and lymphatic vessels. Small seromas usually resolve on their own. Larger seromas may require drainage. Seromas can become infected and immediate medical attention should be sought if the swollen area becomes red and hot.,,0
1239,A history and physical will be performed. A doctor can often make the diagnosis based on exam findings alone. ,"Treatment depends on the stage of the disease. Initial therapy may be primarily performed by a physical therapist with a combination of stretching, splinting, massage and therapeutic modalities. Corticosteroid injections may also be performed but are associated with skin discoloration and atrophy of the fat in the hand. An injection of collagenase into the soft tissue of the affected fingers, followed by soft tissue manipulation has shown favorable results for early to mid-progression of the contracture. Surgery to release or remove scar tissue may be considered for advanced cases. ","Symptoms include bumps or nodules in the palm of the hand, decreased range of motion of the hand and a loss of dexterity. Dupuytren's contracture progresses slowly and is usually painless. The condition has not been associated with an injury or repetitive hand use. ",Dupuytren's contracture (contracted palmar fascia),"Dupuytren's contracture is a soft tissue condition that causes a slowly progressive deformity of the hand. The cause is unknown, but is thought to be an inherited disorder and is seen more frequently with increasing age. The condition is more common in men than in women and in people of Northern European heritage. Thick tissue forms under the skin and impedes the movement of the tendons in the hand. This causes the hand to flex and contract causing decreased function of the affected hand. Over time, the fingers bend towards the palm and cannot be straightened. The ring and little finger are most commonly affected while the index finger and thumb are usually spared.",,0
1240,A history and physical exam will be done. A special test must be performed to detect the parasite in the stool and is many times not found unless the healthcare provider specifically asks the laboratory to look for the Cyclospora parasite. Other blood tests may be done if the healthcare provider is concerned about dehydration. ,"The antibiotic trimethoprim/sulfamethoxazole (Bactrim, Septra) is used to treat the infection. If patients are dehydrated they should receive oral hydration, and for severe cases will need hospitalization with intravenous hydration. ","Symptoms usually begin 1 week after becoming infected. The most common symptom is watery diarrhea and it can be large amounts and occur frequently. Other symptoms include abdominal cramping, nausea, vomiting, bloating, loss of appetite, increased gas, and fatigue. Signs of severe dehydration include: fainting, confusion, extreme fatigue, loss of appetite, dry mouth, decreased urination, lack of sweating, no tears when crying, and sunken eyes. ",Cyclospora infection,"Cyclospora is a parasite that causes diarrhea, nausea and abdominal cramping. Patients become infected by ingesting food or water contaminated with the parasite. The Cyclospora parasite is very small having only one cell, and it can only be diagnosed by using a special test of a stool sample. Patients with normal immune systems will usually recover without definitive treatment although the symptoms can last up to a month. Those with weakened immune systems or those in poor health can have more serious symptoms including dehydration requiring hospital admission. ",,0
1241,A history and physical exam will be performed. There are no definitive tests to establish the diagnosis. Sometimes a mental health evaluation is recommended to determine if other conditions exist and to help guide treatment. ,"Exercise and diet changes (avoiding simple sugars, caffeine, and alcohol) may help relieve symptoms. Nonsteroidal anti-inflammatory medications - NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn) are prescribed for pain. Of the drug therapies, SSRI antidepressants are considered the most effective therapy. Birth control pills may decrease PMS symptoms but are not effective in all patients. Cognitive behavioral therapy is also an option.","Symptoms typically occur 5 to 10 days before a menstrual cycle and resolve a few days after the period has started. Symptoms may include fatigue, anxiety, panic attacks, mood swings, depression, trouble concentrating, trouble sleeping, food cravings as well as physical symptoms including breast tenderness, menstrual cramps, bloating and headaches.",Premenstrual dysphoric disorder (PMDD),"Premenstrual dysphoric disorder (PMDD) is a condition that affects some women approximately 5 to 10 days prior to their monthly menstrual cycle. Symptoms are similar to premenstrual syndrome (PMS) but are much more severe. They include depressive symptoms, anxiety and irritability in addition to physical symptoms such as breast tenderness, menstrual cramps, bloating and headaches. PMDD affects approximately 3-8% of women during the years that they are menstruating. The cause of PMDD is unknown but is more common in women with underlying depression and anxiety disorders.",,0
1243,"A history and physical will be performed, including a detailed history of recent travel to the middle east if MERS is suspected. A sputum sample will be obtained to help determine if an active infection with the virus is present. A blood test can also be obtained to determine if antibodies are present, which would indicate a person has previously been infected with MERS. ","There is currently no known specific treatment or medication for the MERS virus, only supportive care to help relieve symptoms relating to the respiratory illness. There is no vaccine at this time for the virus. For more information and updates to the spread of the MERS virus contact the Centers for Disease Control and Prevention at www.cdc.gov. ","Symptoms include fever, cough, and shortness of breath. Some people have also reported gastrointestinal symptoms including diarrhea, nausea and vomiting. ",Middle East Respiratory Syndrome (MERS),"Middle East Respiratory Syndrome (MERS) is a viral respiratory illness caused by a type of coronavirus. It was first found and reported in Saudi Arabia in 2012. The cause or the source of the virus is unknown, but it is thought that it likely originated from an animal source. MERS has been shown to spread between people who are in close contact. The first case of MERS was detected in the US in a traveler from Saudi Arabia in May of 2014, but is most commonly found in countries in the Arabian Peninsula. The CDC continues to closely monitor the MERS situation globally to better understand how it spreads, the source and risks to the public's health. According to the CDC approximately 1 in 4 infected people die from MERS. ",,0
1245,A history and physical exam will be performed. The diagnosis can usually be made based on exam findings and historical information. ,"Topical minoxidil is available for both men and women to help decrease hair loss and sometimes regrow hair. Finasteride (Propecia) is an oral drug that can be used in men. For those that prefer covering, wigs, toupees or hair weaves can be used to cover areas of exposed scalp. Surgeries such as scalp reduction and hair transplants can be performed to decrease the appearance of baldness.","Symptoms include thinning hair and hair loss at the temples and top of scalp in men. In the most extreme cases, this can progress to the point where there is only a ring of hair along the side and back of the scalp. In women, the hair loss is more generalized and is often more obvious at the top of the head and down the middle.",Male pattern hair loss (hereditary-patterned baldness),"Hereditary-patterned baldness is the most common form of baldness. Although it can begin at a young age, it is much more common in older men and women. In men with this type of baldness, the hair growth cycle changes in response to a type of testosterone called dihydrotestosterone (DHT). Over time hair follicles get thinner and shorter. Eventually, areas of the scalp stop growing hair altogether. Women that produce excess male hormones are more likely to experience this at a younger age. Men tend to experience hair loss mostly at the temples and top of the scalp. Women tend to lose hair in a more widespread fashion.   ",,0
1247,"A history and physical exam will be performed. A semen analysis is usually performed. If the semen analysis is abnormal, blood tests and imaging tests may be required to make the diagnosis.","Treatment is directed at the cause of infertility. Treatment may include hormone therapy, surgery and treatment of infections. If there is no correctable cause of infertility, a reproductive specialist may be able to assist with reproduction techniques such as intrauterine fertilization or in vitro fertilization.","There are generally no symptoms associated with male infertility. If there is a hormonal abnormality, men may notice a change in their voice, the growth of breasts or difficulty with sexual functioning.",Male infertility,"Male infertility is the inability to produce a pregnancy due to issues with the male sex partner. It is estimated that 20% of cases of infertility are the result of primary male infertility issues. The cause can be related to hormonal problems, sex organ malfunction, abnormal sperm function, drugs and certain illnesses. ","Testosterone level, sperm function testing, biopsy of the testicle.",0
1249,"A history and physical will be performed. A specific ophthalmologic exam will be done. Blood tests and imaging tests such as an ultrasound, CT scan or MRI may be performed to identify diseases associated with this disorder.","Treatment is directed at the specific cause of scleritis. Corticosteroid eye drops and pills are used for treatment. In severe cases, surgery may be required to repair the injured portion of the eye.","Symptoms include pain, redness of the white part of the eye (sclera), tearing, and blurry vision.",Scleritis (inflammation of the eye),"Scleritis is an inflammation of the white part of the eye called the sclera. It is caused by another disease process 50% of the time. It can be caused by a variety of diseases such as auto-immune disorders (lupus, rheumatoid arthritis), sarcoidosis and infections (tuberculosis). Scleritis most often occurs in individuals between thirty and sixty years old and can result in visual loss if left untreated. ",,0
1251,A history and physical exam will be performed. Blood and imaging tests will most likely be performed if the patient has symptoms of a bowel obstruction. Adhesions are often only seen during surgery.,"If there is no bowel obstruction, no treatment is required. If there is evidence of a bowel obstruction, conservative therapy may be attempted. This involves intravenous hydration and the placement of a small tube down the nose and into the stomach. In some cases, surgery is required to unkink the intestines and remove adhesions.","Most people with adhesions do not have any symptoms. If the adhesions cause a bowel obstruction, symptoms may include abdominal pain, abdominal swelling, decreased bowel movements, nausea, and vomiting.",Abdominal adhesions (scar tissue),"Abdominal adhesions are bands of scar tissue that attach to the abdominal wall and abdominal organs. The most common cause of adhesions is previous abdominal surgeries. Adhesions can also be caused by an infection in the abdominal cavity (peritonitis) or endometriosis. Adhesions usually do not produce symptoms unless the intestines get kinked in the adhesions. If they do, a blockage or obstruction of the intestines can occur. If a bowel obstruction develops, this is a medical emergency and immediate attention should be sought.",,0
1253,A history and physical will be performed. Imaging tests may be used to help make the diagnosis.,"Treatment may vary depending on the severity of disease. Conservative therapy involves rest, ice, elevation, the use of anti-inflammatory medications, and physical therapy. In more severe cases, surgery may be recommended to remove damaged cartilage.","Symptoms include joint pain, creaking sounds or grinding sensations when moving a joint, joint swelling and joint buckling (giving way).",Chondromalacia (cartilage damage),"Chondromalacia is the softening of cartilage that exists inside the joints. Normally this cartilage acts as a cushion that allows the bones to easily slide over one another. As the cartilage softens and weakens, areas develop that allow the bones to rub together and cause pain. The knee is the most common joint to be affected. Several conditions increase the risk of development of chondromalacia. They include trauma, overuse, infections, rheumatoid arthritis, meniscus injuries and steroid injections in the joint.",,0
1255,"A history and physical exam will be performed. The physical exam will focus on the nervous system of the body. Blood tests will be performed. In addition, it is common for a brain image, either a CT scan or MRI, and a brain wave test called an electroencephalogram (EEG) to be performed.","A variety of medicines are used to treat partial seizures, such as carbamazepine (Tegretol), phenytoin (Dilantin), valproate (Depakote), lamotrigine (Lamictal), oxcarbazepine (Trileptal), gabapentin (Neurontin) and topiramate (Topamax).","Symptoms vary greatly depending on the area of the brain that is affected. They may include symptoms such as one sided jerking movements or stiffness, involuntary turning of the head or eyes to one side, numbness or visual disturbances (flashing lights, blurred vision). Some patients with partial seizures in an area of the brain called the temporal lobe report strange smells or tastes unrelated to a real object or food.",Focal seizure (partial seizure),"A partial seizure is related to an abnormal discharge of electricity in the brain. Normally, electrical signals in the brain flow in regular controlled pathways. In a partial seizure, the normal electrical pathways are disrupted, resulting in an abnormal discharge of electricity in an area of the brain. The symptoms vary greatly depending on where in the brain the discharge occurs. A simple partial seizure does not result in a change in consciousness, while a complex partial seizure does.  ",,0
1257,"A history and physical exam will be performed. The physical exam will focus on the nervous system of the body. Blood tests will be performed and the brain will be imaged by either a CT scan or MRI. Ultimately, an EEG will be performed to see if any areas of the brain are conducting electricity abnormally.","A variety of medicines are used to treat generalized seizures. Some common medicines are valproate (Depakote), carbamazepine (Tegretol), phenytoin (Dilantin), and topiramate (Topamax). Until the seizures are controlled patients are asked to not drive a car, avoid swimming or bathing alone and asked to not climb high places unattended. ","In addition to loss of consciousness, symptoms may include jerking of the arms and legs, rigidity of the arms, legs or trunk, biting of the tongue, and a loss of bowel or bladder control.",Generalized seizure disorder (generalized epilepsy),"A generalized seizure is related to an abnormal discharge of electricity in the brain. Normally, electrical signals in the brain flow in regular controlled pathways. In a generalized seizure, there is electrical discharge deep in the brain that spreads to involve the entire brain. Attacks begin with a loss of consciousness and may progress to violent jerking or rigidity. This disorder is also called a tonic clonic seizure and in the past was called a grand mal seizure.",,0
1259,A history and physical exam will be performed. The diagnosis can usually be made based on exam findings. The doctor may require pictures of your erect penis to confirm the diagnosis.,"Treatment is not necessary in most cases. For severe cases, the FDA has approved collagenase (Xiaflex) injections. Other drugs have been tried both orally and by injection with minimal success. In very severe cases, corrective surgery can be considered. ","Symptoms may be limited to a curvature of the penis. This curvature can be upward, downward or sideways. Other individuals may experience pain with intercourse and others may have difficulty obtaining erections.",Peyronie's disease (abnormal curvature of the penis),Peyronie's Disease is the inflammation and scarring along the shaft of the penis that result in an abnormal curvature of the penis. A mild curvature can be normal but a more severe curvature is most likely related to Peyronie's disease unless there has been trauma. Most cases are asymptomatic but other cases result in some degree of sexual dysfunction. It does appear to run in families and is most common between the ages of 45 and 60.  ,,0
1261,"A history and physical will be performed. Blood and possibly imaging tests may be performed depending on the symptoms. Ultimately, the diagnosis will be made based on specific blood tests or cultures.","Treatment is usually with a single antibiotic and hospitalization is rare. The duration of treatment may vary from a 5 to 21 day course of antibiotics depending on the location and extent of infection. Cough suppressants, analgesics and anti-fever medications are often used as well. ","Symptoms vary depending on the part of the body infected. Symptoms may include fever, runny nose, muscle pain, headache, sore throat, cough (usually without sputum) and ear pain. ",Mycoplasma infection (bacteria),"Mycoplasma is a unique type of bacteria that is extremely small and, similar to a virus, lacks a cell wall. The bacteria can cause a sore throat, ear infection and can involve the lungs (pneumonia). Spread of infection is usually through close person-to-person contact. Symptoms usually start 10  14 days after contact and may be prolonged, lasting several weeks. Infections can occur at any time of year. ",,0
1263,"A complete history and physical exam will be performed. The diagnosis may be suspected from results of a CT scan. Usually, the diagnosis is confirmed by biopsy of the duodenum when an upper endoscopy is performed. A PET scan may be done to determine if the cancer has spread. ","Treatment is determined by the size and location of the cancer. A combination of surgery, chemotherapy and radiation therapy may be used.","Symptoms may include fatigue, weight loss, loss of appetite, abdominal pain, nausea, vomiting and blood in the stools.",Duodenal cancer (small intestine),Duodenal cancer is the growth of abnormal cells in a portion of the small intestine near the stomach. These abnormal cells ultimately grow and produce a tumor. This cancer is relatively rare compared to stomach and colorectal cancer. ,,0
1265,A complete history and physical exam will be performed.  The diagnosis may be suspected from results of an abdominal CT scan or MRI. Making a definitive diagnosis can be challenging because the area involved often cannot be reached with endoscopy. Surgery may be needed for biopsy or to remove the tumor completely. ,"Treatment is determined by the size and location of the cancer. A combination of surgery, chemotherapy and radiation therapy may be used.","Symptoms may include fatigue, weight loss, loss of appetite, abdominal pain, nausea, vomiting and blood in the stools.",Small bowel cancer (small intestine),"Small bowel cancer is the growth of abnormal cells in a portion of the small intestine. These abnormal cells ultimately grow and produce a tumor. This cancer is relatively rare compared to stomach and colorectal cancer. The cancer behaves somewhat differently depending on its location in the small bowel. Cancers in the first third of the small intestine (duodenum) tend to behave more like stomach cancer while cancers in the next two-thirds of the small intestine (jejunum and ileum) tend to behave more like colorectal cancer. Smoking, excessive alcohol intake, Crohn's disease, celiac disease, and familial polyposis syndrome increase the risk of small bowel cancer.",,0
1267,"A complete history and physical exam will be performed. The diagnosis is often suspected from results of imaging tests such as an ultrasound, CT scan or MRI. Ultimately, a tissue biopsy or removal of the gallbladder may be required to confirm the diagnosis.","Treatment is determined by the size and location of the cancer. A combination of surgery, chemotherapy and radiation therapy may be used.","Symptoms may include fatigue, weight loss, loss of appetite, right upper quadrant abdominal pain, nausea, vomiting and yellowing of the skin and eyes (jaundice).",Gallbladder cancer,Gallbladder cancer is the growth of abnormal cells in the gallbladder. These abnormal cells ultimately grow and produce a tumor. This cancer is rare. Its more likely to occur in women compared to men and in people with gallstones. ,"Magnetic resonance cholangiography, tumor marker CA 19-9",0
1269,"A complete history and physical exam will be performed. The diagnosis is often made when a very high platelet count is noted on a CBC blood test. Ultimately, a bone marrow biopsy may be required to confirm the diagnosis.","Treatment depends on the severity of disease. Many patients are treated with low-dose aspirin alone. Others are given drugs that reduce the number of platelet producing cells. These drugs include hydroxyurea, anagrelide, interferon alfa, or phosphorous-32.","Approximately a quarter of patients have no symptoms. Symptoms, if present, are related to clotting in a blood vessel or bleeding. Neurologic symptoms may include headache, numbness, dizziness, difficulty speaking, weakness or seizures. ",Essential thrombocythemia (excessive blood platelets),"Essential thrombocythemia is an abnormally high production of cells called megakaryocytes in the bone marrow. The bone marrow is the soft spongy material contained in the center of the bones. These cells are responsible for producing platelets. Platelets are blood products that help the blood clot. In essential thrombocythemia, platelet levels are excessive (greater than 600,000 per microliter) and can lead to clotting problems. ",,0
1271,"A complete history and physical exam will be performed. The diagnosis is often made with an ultrasound. Ultimately, a fine needle biopsy (FNB) may be needed to confirm that the cyst is benign (non-cancerous).","Treatment is rarely required for thyroid cysts. Occasionally, the cysts may be surgically removed if the patient is symptomatic.","The majority of thyroid cysts are asymptomatic. Others may grow and produce pain, shortness of breath, anxiety and palpitations.",Thyroid cyst,"Thyroid cysts are fluid-filled cavities in the thyroid gland. The majority of cysts are benign (non-cancerous) but some can contain malignant cells (cancerous). Most will shrink in size over time. However, some may grow and become symptomatic.",Fine needle biopsy,0
1273,A history and physical will be performed. The diagnosis can usually be made after a thorough history and physical examination.,"The treatment for herpangina is supportive. Pain and fever control with acetaminophen or ibuprofen, as well as adequate hydration, are the mainstays of treatment. To help numb the painful mouth sores, patients should rinse often with cool water, or the provider may prescribe a liquid to swish and spit. ","Symptoms are usually limited to fever and sore throat. Younger children may refuse to eat or drink. As a result, they may become dehydrated.",Herpangina (mouth blisters),Herpangina is a viral illness that most commonly affects young children. Children usually complain of fever and sore throat. The sore throat is the result of tiny painful blisters on the soft palate. The disease usually resolves on its own with only symptomatic treatment. Coxsackie A is the name of the virus that most commonly causes herpangina. The disease is most often seen in the summer months. ,,0
1275,"A complete history and physical will be performed. Diagnostic tests include blood work, x-rays and usually an MRI. After the tumor is located, either surgical removal of the tumor or a biopsy to confirm the diagnosis will be performed.","Treatment varies depending on the size of the tumor and whether the tumor has invaded surrounding tissue. Treatment is usually a combination of surgery, radiation therapy, and chemotherapy. 

For more information contact: American Cancer Society: (800) 227-2345.","Symptoms may include persistent pain in an arm or leg, limping, fever, weight loss or a firm lump in an arm or leg.",Ewing's sarcoma (cancer),"Ewing's sarcoma is a rare cancer that grows in a bone or less commonly in soft tissue. Most cases occur between the ages of 10 and 20. Rarely, the tumor develops after the age of twenty. The majority of people with this cancer are Caucasian. ","CT scan, Radionuclide bone scan, PET scan",0
